threshold,f1_macro,precision_macro,recall_macro
0.3,0.8194372320559484,0.8056141465226927,0.838571072940005
0.32,0.8206454673436631,0.8076385160528294,0.8381229773462784
0.34,0.8191855663553778,0.8075167260590626,0.8342676956269189
0.36,0.8183422823765605,0.8077166133998379,0.8316886565430255
0.38,0.821359517004308,0.8120379829998847,0.8326346361297817
0.4,0.8196885370798415,0.8117578598052939,0.8289768483943241
0.42,0.8202664166569007,0.8145101761046083,0.8266865820263878
0.44,0.8222078585939232,0.8183171593206195,0.8263828727906397
0.46,0.8205027349993321,0.8188924636698134,0.8221591569164385
0.48,0.8215795231255048,0.8218173759683838,0.8213426271678699
0.5,0.8232164984583805,0.8250537056928033,0.8214339058999254
0.52,0.8205960603811531,0.8254167351592019,0.8161314413741598
0.54,0.82111293011792,0.8293549504500233,0.8138411750062235
0.56,0.8188274408322052,0.8303878400386031,0.8090780848062402
0.58,0.8167808043122247,0.8320701139069437,0.8044859347771969
0.6,0.8124351085210563,0.8315939273092428,0.7977628412579869
0.62,0.8073360878161646,0.832145594777391,0.7895660111194092
0.64,0.8038130875266756,0.8333785458611036,0.7837241722678616
0.66,0.7995403566314949,0.8348303911580928,0.7769745249356901
0.68,0.7969293927563934,0.84019861790799,0.7712505186291594
0.7,0.792774056419628,0.8417878258919003,0.7652377396066716
